"method","measure","prior_sd","BF"
"motr","gaze_duration",0.01,1.0124904367726
"motr","gaze_duration",0.025,1.0785935129803
"motr","gaze_duration",0.05,1.11786139815806
"motr","gaze_duration",0.075,1.07107866941326
"motr","gaze_duration",0.1,1.08267797953716
"motr","gaze_duration",0.25,1.09661010294857
"motr","gaze_duration",0.5,1.08823267376555
"motr","gaze_duration",0.75,1.09358255964593
"motr","gaze_duration",1,1.06407236927425
"motr","go_past_time",0.01,1.16982095041264
"motr","go_past_time",0.025,1.89213338625474
"motr","go_past_time",0.05,2.66577090165286
"motr","go_past_time",0.075,3.04809572194065
"motr","go_past_time",0.1,3.19683688731871
"motr","go_past_time",0.25,3.38165050718262
"motr","go_past_time",0.5,3.350719738805
"motr","go_past_time",0.75,3.37809841995623
"motr","go_past_time",1,3.54058024091501
"motr","total_duration",0.01,1.12661349922076
"motr","total_duration",0.025,1.43996814209874
"motr","total_duration",0.05,1.80154874758427
"motr","total_duration",0.075,1.87424298869345
"motr","total_duration",0.1,1.930245878463
"motr","total_duration",0.25,2.00239310852233
"motr","total_duration",0.5,2.03080038048982
"motr","total_duration",0.75,2.03531244507676
"motr","total_duration",1,1.95729706985822
"motr","FPReg",0.01,1.01491146224941
"motr","FPReg",0.05,1.0342734373803
"motr","FPReg",0.1,1.36337063938444
"motr","FPReg",0.5,3.57301425628795
"motr","FPReg",1,4.25396176571683
"motr","FPReg",5,4.46950431422195
"motr","FPReg",10,4.4636876987412
"motr","RegIn_incl",0.01,1.00105966272655
"motr","RegIn_incl",0.05,0.988639978685908
"motr","RegIn_incl",0.1,0.908065918212872
"motr","RegIn_incl",0.5,0.817046636096638
"motr","RegIn_incl",1,0.789864396841425
"motr","RegIn_incl",5,0.795011509485924
"motr","RegIn_incl",10,0.803318646102293
"et","gaze_duration",0.01,1.01651061703245
"et","gaze_duration",0.025,1.04394914243182
"et","gaze_duration",0.05,1.1131331448073
"et","gaze_duration",0.075,1.10770274561411
"et","gaze_duration",0.1,1.08273114884431
"et","gaze_duration",0.25,1.08427323671309
"et","gaze_duration",0.5,1.08555683756222
"et","gaze_duration",0.75,1.09901769290778
"et","gaze_duration",1,1.15351295341843
"et","go_past_time",0.01,0.885019622746492
"et","go_past_time",0.025,0.69748664754984
"et","go_past_time",0.05,0.603790659002787
"et","go_past_time",0.075,0.577740559314861
"et","go_past_time",0.1,0.56457724401051
"et","go_past_time",0.25,0.55422178263539
"et","go_past_time",0.5,0.537667799776836
"et","go_past_time",0.75,0.552077278921961
"et","go_past_time",1,0.545533034039435
"et","total_duration",0.01,1.00830271809655
"et","total_duration",0.025,0.936193591961826
"et","total_duration",0.05,0.920795385658192
"et","total_duration",0.075,0.911832701582192
"et","total_duration",0.1,0.913051316903843
"et","total_duration",0.25,0.939899786707545
"et","total_duration",0.5,0.89796433595594
"et","total_duration",0.75,0.926541357141651
"et","total_duration",1,0.904444939143693
"et","FPReg",0.01,0.996143682025823
"et","FPReg",0.05,0.900681580871117
"et","FPReg",0.1,0.734864068630931
"et","FPReg",0.5,0.513295096574576
"et","FPReg",1,0.501277744509491
"et","FPReg",5,0.496762109171722
"et","FPReg",10,0.498995469412415
"et","RegIn_incl",0.01,1.01621322355382
"et","RegIn_incl",0.05,1.01319922568853
"et","RegIn_incl",0.1,0.996075296897503
"et","RegIn_incl",0.5,0.914229114423295
"et","RegIn_incl",1,0.928104713253428
"et","RegIn_incl",5,0.8912129145964
"et","RegIn_incl",10,0.90366410946045
