"subj_id","mean_correctness","sd_correctness","count"
"131",0.977272727272727,0.150755672288882,44
"132",0.909090909090909,0.290803363451153,44
"136",0.977272727272727,0.150755672288882,44
"137",0.909090909090909,0.290803363451153,44
"138",0.954545454545455,0.210707054941485,44
"139",0.954545454545455,0.210707054941485,44
"140",0.954545454545455,0.210707054941485,44
"141",0.954545454545455,0.210707054941485,44
"142",0.954545454545455,0.210707054941485,44
"143",0.977272727272727,0.150755672288882,44
"144",0.977272727272727,0.150755672288882,44
"145",0.931818181818182,0.254971705929353,44
"146",0.976744186046512,0.152498570332605,43
"147",1,0,44
"148",0.931818181818182,0.254971705929353,44
"149",0.954545454545455,0.210707054941485,44
"150",0.931818181818182,0.254971705929353,44
"151",0.977272727272727,0.150755672288882,44
"152",0.931818181818182,0.254971705929353,44
"153",0.857142857142857,0.354168801660573,42
"154",0.931818181818182,0.254971705929353,44
"155",0.909090909090909,0.290803363451153,44
"156",0.977272727272727,0.150755672288882,44
"157",0.953488372093023,0.213082632316446,43
"158",0.954545454545455,0.210707054941485,44
"159",0.976744186046512,0.152498570332605,43
"160",0.954545454545455,0.210707054941485,44
"161",0.976190476190476,0.154303349962092,42
"162",0.954545454545455,0.210707054941485,44
"163",0.977272727272727,0.150755672288882,44
"164",0.954545454545455,0.210707054941485,44
"165",0.931818181818182,0.254971705929353,44
"166",0.931818181818182,0.254971705929353,44
"167",0.977272727272727,0.150755672288882,44
"168",0.977272727272727,0.150755672288882,44
"169",0.977272727272727,0.150755672288882,44
"170",0.977272727272727,0.150755672288882,44
"171",0.8,0.421637021355784,10
"172",0.886363636363636,0.32103822064055,44
"173",0.886363636363636,0.32103822064055,44
"174",0.954545454545455,0.210707054941486,44
"175",0.930232558139535,0.257769631113233,43
"176",0.954545454545455,0.210707054941486,44
"177",0.977272727272727,0.150755672288882,44
"178",0.976744186046512,0.152498570332605,43
"179",0.976744186046512,0.152498570332605,43
"180",0.954545454545455,0.210707054941485,44
"181",0.931818181818182,0.254971705929353,44
"182",0.954545454545455,0.210707054941485,44
"183",0.954545454545455,0.210707054941485,44
"184",0.977272727272727,0.150755672288882,44
"185",0.977272727272727,0.150755672288882,44
"186",0.977272727272727,0.150755672288882,44
"187",0.931818181818182,0.254971705929353,44
"188",0.977272727272727,0.150755672288882,44
"189",0.954545454545455,0.210707054941485,44
"190",0.977272727272727,0.150755672288882,44
"191",0.930232558139535,0.257769631113233,43
"192",0.977272727272727,0.150755672288882,44
"193",0.85,0.361620285339789,40
"194",0.977272727272727,0.150755672288882,44
"195",0.977272727272727,0.150755672288882,44
"196",0.977272727272727,0.150755672288882,44
"197",0.931818181818182,0.254971705929353,44
