"Dependent.Variable","Model.Type","AIC","BIC"
"SFD","L model",356.573697877406,408.42957370641
"SFD","S model",368.30879634693,420.164672175934
"gaze_duration","L model",2076.51078673316,2137.16758791414
"gaze_duration","S model",1912.51361299673,1972.77969607797
"go_past_time","L model",2716.17712791789,2776.44321099914
"go_past_time","S model",2722.01158918934,2782.27767227059
"total_duration","L model",2606.12595647212,2666.6256984226
"total_duration","S model",2452.87302105896,2512.82389632684
"FPReg","L model",1975.11604046667,2002.68731373075
"FPReg","S model",1974.77914600457,2002.35041926865
"RegIn","L model",1691.60247177956,1719.27628506475
"RegIn","S model",1689.59409524274,1717.26790852793
